id;cliente_id;valor;data
6202;715;58.0;2021-10-05 19:45:18 -0300
6197;671;300.0;2021-10-05 19:21:14 -0300
6196;205;17.863999999999997;2021-10-05 16:57:32 -0300
6195;205;75.075;2021-10-05 16:52:13 -0300
6185;730;2.0;2021-10-05 01:58:10 -0300
6183;730;2.0;2021-10-05 01:44:24 -0300
6163;211;25.0;2021-10-04 21:59:41 -0300
6161;205;50.0;2021-10-04 21:59:11 -0300
6155;732;20.0;2021-10-04 20:41:21 -0300
6148;730;2.0;2021-10-04 19:54:18 -0300
6111;730;3.0;2021-10-03 19:40:29 -0300
6095;715;40.0;2021-10-03 16:12:55 -0300
6090;732;153.704352643072;2021-10-03 15:25:25 -0300
6074;732;30.0;2021-10-03 10:42:39 -0300
6067;205;63.39059999999999;2021-10-02 23:09:31 -0300
6064;732;20.0;2021-10-02 21:35:35 -0300
6055;730;2.0;2021-10-02 20:16:52 -0300
6052;730;2.0;2021-10-02 19:41:31 -0300
6032;586;20.0;2021-10-02 15:02:18 -0300
6013;732;110.08000000000001;2021-10-01 22:54:35 -0300
6010;730;3.0;2021-10-01 19:51:33 -0300
6002;730;500.0;2021-10-01 14:54:15 -0300
5995;695;208.68860249999997;2021-09-30 23:27:08 -0300
5991;211;10.0;2021-09-30 18:49:38 -0300
5986;730;2.0;2021-09-30 18:22:37 -0300
5984;730;2.0;2021-09-30 18:14:01 -0300
5980;730;2.0;2021-09-30 17:52:10 -0300
5952;211;10.0;2021-09-30 00:51:10 -0300
5950;205;78.74999999999989;2021-09-30 00:50:51 -0300
5940;732;98.27153279999999;2021-09-29 23:45:05 -0300
5939;732;112.94808210000001;2021-09-29 23:25:04 -0300
5935;211;10.0;2021-09-29 21:19:37 -0300
5931;695;10.0;2021-09-29 19:46:56 -0300
5922;741;20.0;2021-09-29 18:41:46 -0300
5920;730;2.0;2021-09-29 18:23:30 -0300
5918;730;2.0;2021-09-29 18:15:13 -0300
5916;730;10.0;2021-09-29 17:51:01 -0300
5907;211;6.017999999999997;2021-09-29 16:25:47 -0300
5901;211;10.0;2021-09-29 16:05:49 -0300
5891;732;20.0;2021-09-29 13:55:45 -0300
5887;732;20.0;2021-09-29 09:34:10 -0300
5879;205;50.0;2021-09-28 20:06:31 -0300
5874;730;2.0;2021-09-28 18:59:47 -0300
5868;730;30.0;2021-09-28 18:35:38 -0300
5866;730;2.0;2021-09-28 18:34:01 -0300
5863;730;2.0;2021-09-28 18:22:48 -0300
5858;730;10.0;2021-09-28 18:08:20 -0300
5857;730;3.0;2021-09-28 18:08:11 -0300
5855;211;13.0;2021-09-28 18:06:10 -0300
5853;737;29.0;2021-09-28 17:57:02 -0300
